Country,Year_Month,New_cases,New_deaths,Cumulative_cases,Cumulative_deaths,Date_reported_x,Country_code_x,WHO_region_x,Date_reported_y,Country_code_y,WHO_region_y,Date_reported,Country_code,WHO_region,Health_Coverage_Index,Median_Age,Urban_Population_Share,Region,Temperature (°C),Relative Humidity (%),Ozone Concentration (ppb),Cases per Million
South Africa,2022-12,7293.0,140.0,4048232,102568,2022-12-01,ZA,,2022-12-01,ZA,,2022-12-01,ZA,,62.857142857142854,20.587675675675676,33.577046726372416,Sub-Saharan Africa,20.82995053555095,42.20148659256,46.81287453585964,7293.0
South Africa,2023-01,7424.0,27.0,4055656,102595,2023-01-01,ZA,,2023-01-01,ZA,,2023-01-01,ZA,,62.857142857142854,20.587675675675676,33.577046726372416,Sub-Saharan Africa,24.7474124087789,47.78003735532,48.523993331052246,7424.0
South Africa,2023-02,5922.0,0.0,4061578,102595,2023-02-01,ZA,,2023-02-01,ZA,,2023-02-01,ZA,,62.857142857142854,20.587675675675676,33.577046726372416,Sub-Saharan Africa,29.766259628548397,56.01963199494,49.97026692507168,5922.0
South Africa,2023-03,10955.0,0.0,4072533,102595,2023-03-01,ZA,,2023-03-01,ZA,,2023-03-01,ZA,,62.857142857142854,20.587675675675676,33.577046726372416,Sub-Saharan Africa,35.1796294228123,66.1338421342,50.722970825058006,10955.0
South Africa,2023-04,0.0,0.0,4072533,102595,2023-04-01,ZA,,2023-04-01,ZA,,2023-04-01,ZA,,62.857142857142854,20.587675675675676,33.577046726372416,Sub-Saharan Africa,37.63374646053791,74.45377993438,50.0487974923584,0.0
South Africa,2023-05,0.0,0.0,4072533,102595,2023-05-01,ZA,,2023-05-01,ZA,,2023-05-01,ZA,,62.857142857142854,20.587675675675676,33.577046726372416,Sub-Saharan Africa,43.40809672831355,102.78619628098,50.52880348921032,0.0
South Africa,2023-06,0.0,0.0,4072533,102595,2023-06-01,ZA,,2023-06-01,ZA,,2023-06-01,ZA,,62.857142857142854,20.587675675675676,33.577046726372416,Sub-Saharan Africa,40.07543209427638,99.17398229,49.842316888312126,0.0
South Africa,2023-07,0.0,0.0,4072533,102595,2023-07-01,ZA,,2023-07-01,ZA,,2023-07-01,ZA,,62.857142857142854,20.587675675675676,33.577046726372416,Sub-Saharan Africa,41.80462489567745,109.85947457217999,50.40739071975824,0.0
South Africa,2023-08,0.0,0.0,4072533,102595,2023-08-01,ZA,,2023-08-01,ZA,,2023-08-01,ZA,,62.857142857142854,20.587675675675676,33.577046726372416,Sub-Saharan Africa,42.10185212840983,95.74250857666,50.665468054790004,0.0
South Africa,2023-09,0.0,0.0,4072533,102595,2023-09-01,ZA,,2023-09-01,ZA,,2023-09-01,ZA,,62.857142857142854,20.587675675675676,33.577046726372416,Sub-Saharan Africa,40.31277795886311,87.0589055074,50.84463173820638,0.0
South Africa,2023-10,48.0,0.0,4072581,102595,2023-10-01,ZA,,2023-10-01,ZA,,2023-10-01,ZA,,62.857142857142854,20.587675675675676,33.577046726372416,Sub-Saharan Africa,27.06955931823586,52.377724617960006,48.16301116423574,48.0
South Africa,2023-11,48.0,0.0,4072629,102595,2023-11-01,ZA,,2023-11-01,ZA,,2023-11-01,ZA,,62.857142857142854,20.587675675675676,33.577046726372416,Sub-Saharan Africa,21.30640460075213,42.5399820159,46.80451720409578,48.0
South Africa,2023-12,7.0,0.0,4072636,102595,2023-12-01,ZA,,2023-12-01,ZA,,2023-12-01,ZA,,62.857142857142854,20.587675675675676,33.577046726372416,Sub-Saharan Africa,22.47542371817488,44.54990927334,47.4245110343664,7.0
